nationality,nb_movies,nb_press_rating,nb_user_rating,total_rating,press_rating_percentage,user_rating_percentage,movies_percentage
Albania,1,0,3,3,0.0,0.0,0.0127
Algeria,10,141,21713,21854,0.1062,0.0359,0.1266
Argentina,27,361,47775,48136,0.272,0.0791,0.3418
Armenia,1,16,203,219,0.0121,0.0003,0.0127
Australia,126,1266,693229,694495,0.9537,1.1475,1.5951
Austria,29,386,41094,41480,0.2908,0.068,0.3671
Belgium,320,6132,951624,957756,4.6195,1.5752,4.0511
Benin,1,20,247,267,0.0151,0.0004,0.0127
Bolivia,1,9,34,43,0.0068,0.0001,0.0127
Bosnia,3,53,1121,1174,0.0399,0.0019,0.038
Botswana,1,0,1832,1832,0.0,0.003,0.0127
Brazil,39,568,64544,65112,0.4279,0.1068,0.4937
Bulgaria,9,33,8190,8223,0.0249,0.0136,0.1139
Byelorussia,1,19,595,614,0.0143,0.001,0.0127
Cambodia,4,73,1845,1918,0.055,0.0031,0.0506
Canada,249,2989,961009,963998,2.2517,1.5908,3.1523
Chad,1,22,96,118,0.0166,0.0002,0.0127
Chile,13,179,15130,15309,0.1348,0.025,0.1646
China,77,960,250493,251453,0.7232,0.4146,0.9748
Colombia,8,149,9050,9199,0.1122,0.015,0.1013
Croatia,5,46,568,614,0.0347,0.0009,0.0633
Cuba,1,12,301,313,0.009,0.0005,0.0127
Cyprus,2,53,5396,5449,0.0399,0.0089,0.0253
Czech Republic,45,536,297172,297708,0.4038,0.4919,0.5697
Czechoslovakia,6,15,989,1004,0.0113,0.0016,0.076
Denmark,70,1008,151861,152869,0.7594,0.2514,0.8862
Dominican Republic,1,0,1263,1263,0.0,0.0021,0.0127
Egypt,4,42,1345,1387,0.0316,0.0022,0.0506
Estonia,1,24,1305,1329,0.0181,0.0022,0.0127
Ethiopia,1,17,133,150,0.0128,0.0002,0.0127
Finland,13,188,23407,23595,0.1416,0.0387,0.1646
France,2610,37603,10633311,10670914,28.3279,17.6016,33.0422
Georgia,4,53,1077,1130,0.0399,0.0018,0.0506
Germany,443,6344,2580942,2587286,4.7792,4.2723,5.6083
Greece,15,170,19607,19777,0.1281,0.0325,0.1899
Guatemala,3,44,772,816,0.0331,0.0013,0.038
Guinea,1,0,189,189,0.0,0.0003,0.0127
Haiti,1,20,247,267,0.0151,0.0004,0.0127
Hongkong,50,490,193684,194174,0.3691,0.3206,0.633
Hungary,26,216,37477,37693,0.1627,0.062,0.3292
Iceland,9,157,26428,26585,0.1183,0.0437,0.1139
India,47,394,104606,105000,0.2968,0.1732,0.595
Indonesia,8,61,11704,11765,0.046,0.0194,0.1013
Iran,15,251,13201,13452,0.1891,0.0219,0.1899
Ireland,64,723,221040,221763,0.5447,0.3659,0.8102
Israel,22,374,12753,13127,0.2817,0.0211,0.2785
Italy,362,2545,1456239,1458784,1.9173,2.4106,4.5829
Ivory Coast,2,14,241,255,0.0105,0.0004,0.0253
Japan,210,2582,811622,814204,1.9451,1.3435,2.6586
Jordan,1,16,157,173,0.0121,0.0003,0.0127
Kazakhstan,2,47,1684,1731,0.0354,0.0028,0.0253
Kenya,1,19,322,341,0.0143,0.0005,0.0127
Korea,4,52,4575,4627,0.0392,0.0076,0.0506
Kosovo,1,14,75,89,0.0105,0.0001,0.0127
Laos,1,9,17,26,0.0068,0.0,0.0127
Latvia,6,56,5941,5997,0.0422,0.0098,0.076
Lebanon,12,198,9659,9857,0.1492,0.016,0.1519
Libia,1,0,283,283,0.0,0.0005,0.0127
Liechtenstein,2,21,6258,6279,0.0158,0.0104,0.0253
Lithuania,1,14,41,55,0.0105,0.0001,0.0127
Luxembourg,47,862,68742,69604,0.6494,0.1138,0.595
Malawi,1,0,1101,1101,0.0,0.0018,0.0127
Malaysia,1,0,647,647,0.0,0.0011,0.0127
Malta,2,13,40,53,0.0098,0.0001,0.0253
Mauritania,1,34,4470,4504,0.0256,0.0074,0.0127
Mexico,45,608,152245,152853,0.458,0.252,0.5697
Monaco,1,23,36223,36246,0.0173,0.06,0.0127
Mongolia,3,50,2052,2102,0.0377,0.0034,0.038
Morocco,13,208,24224,24432,0.1567,0.0401,0.1646
Nepal,1,16,1214,1230,0.0121,0.002,0.0127
Netherlands,53,623,141844,142467,0.4693,0.2348,0.671
New Zealand,32,348,608225,608573,0.2622,1.0068,0.4051
Nigeria,1,0,7,7,0.0,0.0,0.0127
Norway,30,403,48089,48492,0.3036,0.0796,0.3798
Pakistan,2,24,839,863,0.0181,0.0014,0.0253
Palestine,3,63,1182,1245,0.0475,0.002,0.038
Panama,1,20,2142,2162,0.0151,0.0035,0.0127
Paraguay,1,0,41,41,0.0,0.0001,0.0127
Peru,6,36,15463,15499,0.0271,0.0256,0.076
Philippines,1,19,71,90,0.0143,0.0001,0.0127
Poland,42,521,110603,111124,0.3925,0.1831,0.5317
Portugal,22,269,15967,16236,0.2026,0.0264,0.2785
Qatar,18,355,13368,13723,0.2674,0.0221,0.2279
Romania,15,286,44129,44415,0.2155,0.073,0.1899
Russia,52,384,63652,64036,0.2893,0.1054,0.6583
Rwanda,2,25,248,273,0.0188,0.0004,0.0253
Samoa,1,21,8810,8831,0.0158,0.0146,0.0127
Saudi Arabia,3,36,3761,3797,0.0271,0.0062,0.038
Senegal,4,91,2715,2806,0.0686,0.0045,0.0506
Serbia,5,34,2457,2491,0.0256,0.0041,0.0633
Singapore,4,61,21021,21082,0.046,0.0348,0.0506
Slovakia,4,41,437,478,0.0309,0.0007,0.0506
Slovenia,3,70,24841,24911,0.0527,0.0411,0.038
Somalia,1,15,35,50,0.0113,0.0001,0.0127
South Africa,28,229,84866,85095,0.1725,0.1405,0.3545
South Korea,68,822,175747,176569,0.6192,0.2909,0.8609
Spain,196,2229,766078,768307,1.6792,1.2681,2.4813
Sweden,69,874,126605,127479,0.6584,0.2096,0.8735
Switzerland,66,919,128702,129621,0.6923,0.213,0.8355
Syria,1,15,100,115,0.0113,0.0002,0.0127
Taiwan,10,173,57948,58121,0.1303,0.0959,0.1266
Thaïland,10,111,11123,11234,0.0836,0.0184,0.1266
Tunisia,8,125,8560,8685,0.0942,0.0142,0.1013
Turkey,19,216,21362,21578,0.1627,0.0354,0.2405
USA,4173,43415,31975055,32018470,32.7063,52.9292,52.8295
Ukraine,8,61,4732,4793,0.046,0.0078,0.1013
United Arab Emirates,10,131,63092,63223,0.0987,0.1044,0.1266
United Kingdom,810,9930,5776055,5785985,7.4807,9.5613,10.2545
Uruguay,3,59,1217,1276,0.0444,0.002,0.038
Venezuela,1,17,704,721,0.0128,0.0012,0.0127
Vietnam,2,31,11658,11689,0.0234,0.0193,0.0253
West Germany,33,22,68811,68833,0.0166,0.1139,0.4178
